Type,Post Date,Description,Amount,Check or Slip #
DEBIT,08/03/2015,"DOWNTOWN WINE & SPIRITS SOMERVILLE MA        08/01",-34.34,
DEBIT,08/03/2015,"#07563 STAR MARKET CAMBRIDGE MA              08/02 Purchase $89.89 Cash Back $40.00",-129.89,
DEBIT,08/03/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,
CREDIT,07/31/2015,"VENMO            CASHOUT    85219491        CCD ID: 1264681992",2737.50,
CREDIT,07/31/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
CREDIT,07/31/2015,"INTEREST PAYMENT",0.03,
DEBIT,07/29/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
DEBIT,07/27/2015,"BALL SQUARE FINE WINES SOMERVILLE MA         07/24",-11.29,
DEBIT,07/27/2015,"#07563 STAR MARKET CAMBRIDGE MA              07/27 Purchase $86.02 Cash Back $50.00",-136.02,
CREDIT,07/24/2015,"VENMO            CASHOUT    83497585        CCD ID: 1264681992",5.00,
DEBIT,07/24/2015,"DEPT EDUCATION   STUDENT LN 6KMVONVIFC1     WEB ID: 9102001002",-1600.00,
DEBIT,07/23/2015,"Payment to Chase card ending in 1864 07/23",-587.21,
DEBIT,07/23/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-11.36,
CHECK,07/22/2015,"CHECK 1027 ",-104.91,1027
CHECK,07/22/2015,"CHECK 1028 ",-37.12,1028
CREDIT,07/21/2015,"THE MITRE CORPOR EMP EXP                    PPD ID: 1042239742",2370.97,
DEBIT,07/20/2015,"SUNOCO 0012365304 NORWELL MA         810409  07/19",-4.77,
DEBIT,07/20/2015,"Payment to Chase card ending in 2823 07/20",-9.63,
DEBIT,07/20/2015,"Payment to Chase card ending in 2368 07/20",-8.94,
DEBIT,07/20/2015,"Payment to Chase card ending in 1864 07/20",-1136.25,
CREDIT,07/17/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
CREDIT,07/14/2015,"VENMO            CASHOUT    81089827        CCD ID: 1264681992",45.00,
DEBIT,07/13/2015,"Payment to Chase card ending in 1864 07/13",-2530.01,
DEBIT,07/13/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-16.40,
DEBIT,07/10/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-6.77,
DEBIT,07/10/2015,"VENMO            PAYMENT    80048082        CCD ID: 2264681992",-6.25,
CHECK,07/09/2015,"CHECK 1026 ",-3600.00,1026
CREDIT,07/08/2015,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",479.87,
DEBIT,07/08/2015,"VENMO            PAYMENT    79665176        CCD ID: 2264681992",-55.00,
CREDIT,07/07/2015,"VENMO            CASHOUT    79390226        CCD ID: 1264681992",47.40,
DEBIT,07/06/2015,"#07563 STAR MARKET CAMBRIDGE MA              07/05 Purchase $132.77 Cash Back $80.00",-212.77,
DEBIT,07/06/2015,"THE HOME DEPOT 2667 SOMERVILLE MA    086114  07/05",-25.43,
DEBIT,07/06/2015,"Payment to Chase card ending in 2823 07/06",-218.00,
DEBIT,07/06/2015,"Payment to Chase card ending in 2368 07/06",-392.76,
CREDIT,07/02/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
CREDIT,07/02/2015,"VENMO            CASHOUT    78098394        CCD ID: 1264681992",150.00,
DEBIT,07/02/2015,"BSC-LEXINGTON 914-347-4009 MA                07/02",-67.73,
CREDIT,07/01/2015,"VENMO            CASHOUT    77770309        CCD ID: 1264681992",2400.00,
DEBIT,06/30/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
CREDIT,06/30/2015,"INTEREST PAYMENT",0.02,
DEBIT,06/22/2015,"PAYPAL           INST XFER  ROAD ID         WEB ID: PAYPALSI77",-36.97,
CREDIT,06/19/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
DEBIT,06/17/2015,"PAYPAL           INST XFER  EBAY INC        WEB ID: PAYPALSI77",-1.00,
DEBIT,06/12/2015,"VENMO            PAYMENT    73144215        CCD ID: 2264681992",-35.00,
DEBIT,06/12/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-27.09,
DEBIT,06/11/2015,"Payment to Chase card ending in 0726 06/11",-700.72,
DEBIT,06/10/2015,"DEPT EDUCATION   STUDENT LN 6KKMCB0TGM1     WEB ID: 9102001002",-1600.00,
DSLIP,06/08/2015,"REMOTE ONLINE DEPOSIT #          1",400.00,1
CREDIT,06/05/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2293.09,
CHECK,06/04/2015,"CHECK 1025 ",-3600.00,1025
CHECK,06/04/2015,"CHECK 1023 ",-91.69,1023
CHECK,06/04/2015,"CHECK 1024 ",-45.49,1024
CREDIT,06/03/2015,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",54.21,
DEBIT,06/02/2015,"Payment to Chase card ending in 0726 06/02",-1349.62,
DEBIT,06/02/2015,"Payment to Chase card ending in 2368 06/02",-211.78,
DEBIT,06/02/2015,"BSC-LEXINGTON 914-347-4009 MA                06/01",-74.99,
DEBIT,06/01/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-8.99,
DSLIP,05/29/2015,"REMOTE ONLINE DEPOSIT #          1",800.00,1
DSLIP,05/29/2015,"REMOTE ONLINE DEPOSIT #          1",800.00,1
DSLIP,05/29/2015,"REMOTE ONLINE DEPOSIT #          1",400.00,1
DSLIP,05/29/2015,"REMOTE ONLINE DEPOSIT #          1",92.21,1
DSLIP,05/29/2015,"REMOTE ONLINE DEPOSIT #          1",42.21,1
DEBIT,05/29/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
CREDIT,05/29/2015,"INTEREST PAYMENT",0.02,
CREDIT,05/28/2015,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",1002.74,
CREDIT,05/22/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2211.28,
DEBIT,05/19/2015,"Chase QuickPay Electronic Transfer 4640423686 to Mike Pacenta",-35.00,
CREDIT,05/13/2015,"THE MITRE CORPOR EMP EXP                    PPD ID: 1042239742",42.00,
DEBIT,05/13/2015,"DEPT EDUCATION   STUDENT LN 6KJ8KUI2N11     WEB ID: 9102001002",-1600.00,
DEBIT,05/12/2015,"Payment to Chase card ending in 0726 05/12",-465.10,
DEBIT,05/12/2015,"Payment to Chase card ending in 2368 05/12",-918.32,
CHECK,05/11/2015,"CHECK 1055 ",-122.79,1055
CHECK,05/11/2015,"CHECK 1056 ",-80.44,1056
CREDIT,05/08/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2223.27,
DEBIT,05/06/2015,"DEPT EDUCATION   STUDENT LN 6KITV96KL71     WEB ID: 9102001002",-400.00,
CHECK,05/05/2015,"CHECK 1057 ",-3600.00,1057
DEBIT,05/04/2015,"Payment to Chase card ending in 0726 05/04",-484.01,
DEBIT,05/04/2015,"Payment to Chase card ending in 2368 05/04",-442.19,
DSLIP,05/01/2015,"REMOTE ONLINE DEPOSIT #          1",900.00,1
DEBIT,05/01/2015,"BSC-LEXINGTON 914-347-4009 MA                05/01",-74.99,
CREDIT,04/30/2015,"INTEREST PAYMENT",0.02,
DSLIP,04/29/2015,"REMOTE ONLINE DEPOSIT #          1",1015.95,1
DSLIP,04/29/2015,"REMOTE ONLINE DEPOSIT #          1",900.00,1
DEBIT,04/27/2015,"Payment to Chase card ending in 0726 04/27",-377.67,
CREDIT,04/24/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2323.28,
DEBIT,04/24/2015,"Payment to Chase card ending in 0726 04/24",-152.54,
DEBIT,04/24/2015,"Payment to Chase card ending in 2368 04/24",-1126.38,
CHECK,04/24/2015,"CHECK 1020 ",-150.00,1020
CHECK,04/21/2015,"CHECK 1021 ",-1000.00,1021
CREDIT,04/20/2015,"399 HIGHLAND AVENUE SOMERVILLE MA    549112  04/18",3.00,
CREDIT,04/20/2015,"IRS  TREAS 310     TAX REF                  PPD ID: 9111736946",2690.00,
DEBIT,04/20/2015,"NON-CHASE ATM WITHDRAW               549112  04/18399 HIGHL",-103.00,
DEBIT,04/16/2015,"8009OH-TAXINCOME OHINCOMETX                 PPD ID: 1040080005",-45.00,
DEBIT,04/14/2015,"PAYPAL           INST XFER  SMEYEL          WEB ID: PAYPALSI77",-323.54,
DEBIT,04/13/2015,"Payment to Chase card ending in 0726 04/13",-816.36,
DEBIT,04/13/2015,"Payment to Chase card ending in 2368 04/13",-233.83,
CREDIT,04/10/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2323.27,
CREDIT,04/08/2015,"198 LEXINGTON STREET WOBURN MA       474267  04/08",3.00,
DEBIT,04/08/2015,"NON-CHASE ATM WITHDRAW               474267  04/08198 LEXIN",-203.00,
DSLIP,04/07/2015,"REMOTE ONLINE DEPOSIT #          1",950.00,1
DEBIT,04/06/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-6.19,
CREDIT,04/03/2015,"80 SAWN HILL AVENU DORCHESTER MA     257154  04/03",2.25,
DEBIT,04/03/2015,"NON-CHASE ATM WITHDRAW               257154  04/0380 SAWN H",-22.25,
DEBIT,04/02/2015,"BSC-LEXINGTON 877-258-2311 MA                04/01",-74.99,
DEBIT,04/02/2015,"GABRIEL SHALEV   IAT PAYPAL J222224GVNTE6   WEB ID: 770510487C",-63.20,
DEBIT,04/02/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,
DEBIT,04/01/2015,"PAYPAL           INST XFER  VOOFAMILY       WEB ID: PAYPALSI77",-24.99,
DEBIT,04/01/2015,"PAYPAL           INST XFER  GOODWILLIND     WEB ID: PAYPALSI77",-4.99,
DEBIT,03/31/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
CREDIT,03/31/2015,"INTEREST PAYMENT",0.03,
DEBIT,03/30/2015,"Payment to Chase card ending in 0726 03/30",-2304.56,
DEBIT,03/30/2015,"Payment to Chase card ending in 2368 03/30",-559.62,
DEBIT,03/30/2015,"PAYPAL           INST XFER  DANCINGFAIR     WEB ID: PAYPALSI77",-63.96,
CREDIT,03/27/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2303.88,
DEBIT,03/25/2015,"SHAO FENG CHEN   IAT PAYPAL J222224F6QGRS   WEB ID: 770510487C",-105.00,
CHECK,03/23/2015,"CHECK 1019 ",-38.60,1019
DEBIT,03/20/2015,"Payment to Chase card ending in 2368 03/20",-149.33,
DEBIT,03/16/2015,"Payment to Chase card ending in 2368 03/16",-149.33,
CHECK,03/16/2015,"CHECK 1052 ",-1800.00,1052
CREDIT,03/13/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2303.87,
CHECK,03/13/2015,"CHECK 1018 ",-625.00,1018
CHECK,03/12/2015,"CHECK 1051 ",-1800.00,1051
CHECK,03/11/2015,"CHECK 1054 ",-3600.00,1054
CHECK,03/11/2015,"CHECK 1053 ",-3600.00,1053
DSLIP,03/09/2015,"REMOTE ONLINE DEPOSIT #          1",2700.00,1
CREDIT,03/09/2015,"PAYPAL           TRANSFER                   PPD ID: PAYPALSD11",2700.00,
CREDIT,03/09/2015,"Online Transfer from CHK ...5213 transaction#: 4492062803",100.00,
DEBIT,03/09/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-11.49,
CREDIT,03/05/2015,"202 BURLINGTON ROAD BEDFORD MA       270515  03/05",2.50,
DEBIT,03/05/2015,"NON-CHASE ATM WITHDRAW               270515  03/05202 BURLI",-302.50,
DSLIP,03/04/2015,"REMOTE ONLINE DEPOSIT #          1",2700.00,1
DEBIT,03/03/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
DEBIT,03/02/2015,"BSC-LEXINGTON 877-258-2311 MA                03/01",-62.04,
CHECK,03/02/2015,"CHECK 1017 ",-60.00,1017
DEBIT,03/02/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,
CREDIT,02/27/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2303.87,
CREDIT,02/27/2015,"INTEREST PAYMENT",0.02,
DEBIT,02/25/2015,"YOELEO SPORTS CO IAT PAYPAL J22222492DZPL   WEB ID: 770510487C",-501.39,
CHECK,02/25/2015,"CHECK 1016 ",-215.00,1016
DEBIT,02/25/2015,"NEXTSTANDARDUSA  IAT PAYPAL J222224924KNY   WEB ID: 770510487C",-22.99,
DEBIT,02/23/2015,"PAYPAL           INST XFER  BIKEWAGON       WEB ID: PAYPALSI77",-25.99,
DEBIT,02/18/2015,"DEPT EDUCATION   STUDENT LN 6KERJ4NCJG1     WEB ID: 9102001002",-1600.00,
DEBIT,02/18/2015,"PAYPAL           INST XFER  ANYTIMESIGN     WEB ID: PAYPALSI77",-22.77,
DEBIT,02/17/2015,"Payment to Chase card ending in 0726 02/17",-267.35,
CREDIT,02/13/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2303.89,
CHECK,02/13/2015,"CHECK 1015 ",-625.00,1015
DEBIT,02/09/2015,"Payment to Chase card ending in 0726 02/09",-96.08,
DEBIT,02/09/2015,"Payment to Chase card ending in 2368 02/09",-539.04,
DEBIT,02/09/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-30.42,
DEBIT,02/02/2015,"STOP & SHOP 0018 QUINCY MA                   01/31 Purchase $12.45 Cash Back $20.00",-32.45,
DEBIT,02/02/2015,"BSC-LEXINGTON 877-258-2311 MA                02/01",-74.99,
DEBIT,02/02/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-32.71,
DEBIT,02/02/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-26.62,
DEBIT,02/02/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-21.00,
DEBIT,02/02/2015,"PAYPAL           INST XFER  UBERTECHNOL     WEB ID: PAYPALSI77",-13.77,
DEBIT,02/02/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,
CREDIT,01/30/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2303.87,
CREDIT,01/30/2015,"INTEREST PAYMENT",0.02,
DEBIT,01/29/2015,"DEPT EDUCATION   STUDENT LN                 PPD ID: 9102001001",-400.00,
DEBIT,01/29/2015,"SALEFREAKSAN     IAT PAYPAL J22222438WKKW   WEB ID: 770510487C",-59.36,
DEBIT,01/28/2015,"Payment to Chase card ending in 2368 01/28",-525.15,
DEBIT,01/28/2015,"Payment to Chase card ending in 0726 01/28",-321.97,
DEBIT,01/26/2015,"PAYPAL           INST XFER  PLANET CYCL     WEB ID: PAYPALSI77",-51.95,
DEBIT,01/26/2015,"PAYPAL           INST XFER  SL BIKES        WEB ID: PAYPALSI77",-46.80,
DEBIT,01/26/2015,"PAYPAL           INST XFER  ADVANCEDCYC     WEB ID: PAYPALSI77",-19.34,
DEBIT,01/26/2015,"PAYPAL           INST XFER  ABAXO LLC       WEB ID: PAYPALSI77",-8.87,
DEBIT,01/26/2015,"PAYPAL           INST XFER  NEOTERICSOL     WEB ID: PAYPALSI77",-3.97,
DEBIT,01/20/2015,"Payment to Chase card ending in 0726 01/20",-1033.54,
CREDIT,01/16/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2303.88,
DEBIT,01/12/2015,"FLATBREAD COMPANY BEDFORD MA                 01/09",-20.00,
CHECK,01/08/2015,"CHECK 1014 ",-625.00,1014
DEBIT,01/07/2015,"DEPT EDUCATION   STUDENT LN 6KCTTDNU0Q1     WEB ID: 9102001002",-1600.00,
DEBIT,01/06/2015,"PAYPAL           INST XFER  247PACKAGIN     WEB ID: PAYPALSI77",-43.95,
DEBIT,01/06/2015,"PAYPAL           INST XFER  PENS N MORE     WEB ID: PAYPALSI77",-4.54,
DEBIT,01/05/2015,"STOP & SHOP 0416 DEDHAM MA                   01/04 Purchase $65.06 Cash Back $40.00",-105.06,
DEBIT,01/05/2015,"Payment to Chase card ending in 2368 01/05",-114.24,
DEBIT,01/05/2015,"BSC-LEXINGTON 877-258-2311 MA                01/02",-39.99,
CREDIT,01/02/2015,"THE MITRE CORPOR DIR DEP                    PPD ID: 1042239742",2229.90,
DEBIT,01/02/2015,"BSC-LEXINGTON 877-258-2311 MA                01/01",-87.94,
DEBIT,01/02/2015,"PAYPAL           INST XFER  SPOTIFYUSAI     WEB ID: PAYPALSI77",-9.99,
